Date,Close,,Date,Close,,Date,Close
13/08/2025 23:58:00,119442.5,,12/08/2025 23:58:00,4224.9312,,12/08/2025 23:58:00,174.9624
14/08/2025 23:58:00,123332,,13/08/2025 23:58:00,4589.8184,,13/08/2025 23:58:00,191.8204
15/08/2025 23:58:00,119074.5,,14/08/2025 23:58:00,4750.0277,,14/08/2025 23:58:00,201.6547
16/08/2025 23:58:00,117555.5,,15/08/2025 23:58:00,4549.6703,,15/08/2025 23:58:00,192.5945
17/08/2025 23:58:00,117792.9,,16/08/2025 23:58:00,4443.2395,,16/08/2025 23:58:00,185.7868
18/08/2025 23:58:00,115416.2,,17/08/2025 23:58:00,4424.8349,,17/08/2025 23:58:00,189.7631
19/08/2025 23:58:00,114931.1,,18/08/2025 23:58:00,4475.4367,,18/08/2025 23:58:00,191.1652
20/08/2025 23:58:00,113569.7,,19/08/2025 23:58:00,4314.7441,,19/08/2025 23:58:00,183.0645
21/08/2025 23:58:00,114004.5,,20/08/2025 23:58:00,4075.0828,,20/08/2025 23:58:00,176.1247
22/08/2025 23:58:00,112946.4,,21/08/2025 23:58:00,4335.266,,21/08/2025 23:58:00,187.611
23/08/2025 23:58:00,115468.4,,22/08/2025 23:58:00,4224.3914,,22/08/2025 23:58:00,180.2837
24/08/2025 23:58:00,114920.5,,23/08/2025 23:58:00,4830.0706,,23/08/2025 23:58:00,200.6512
25/08/2025 23:58:00,113044.1,,24/08/2025 23:58:00,4776.4888,,24/08/2025 23:58:00,203.9469
26/08/2025 23:58:00,109923.5,,25/08/2025 23:58:00,4779.5706,,25/08/2025 23:58:00,205.8407
27/08/2025 23:58:00,111478.5,,26/08/2025 23:58:00,4376.2445,,26/08/2025 23:58:00,187.2923
28/08/2025 23:58:00,112032,,27/08/2025 23:58:00,4601.0363,,27/08/2025 23:58:00,195.9077
29/08/2025 23:58:00,111769.5,,28/08/2025 23:58:00,4506.868,,28/08/2025 23:58:00,202.9431
30/08/2025 23:58:00,108454.4,,29/08/2025 23:58:00,4512.5661,,29/08/2025 23:58:00,214.4142
31/08/2025 23:58:00,109251.6,,30/08/2025 23:58:00,4359.9902,,30/08/2025 23:58:00,205.1587
01/09/2025 23:58:00,107694.3,,31/08/2025 23:58:00,4374.415,,31/08/2025 23:58:00,202.8476
02/09/2025 23:58:00,110374.9,,01/09/2025 23:58:00,4391.1808,,01/09/2025 23:58:00,200.8681
